Sku,Description,Counted Units,Onhand Units,Unit Variance,Areas
PS203KGR,14K Stacked CZ Green,8,9,-1,"[31, 65]"
PK151,No Description,0,1,-1,
HU126GCL,Mini Pave Pear Huggie,5,6,-1,"[11, 32]"
FC023SCL_8,Baguette Clicker 8mm,7,6,1,"[33, 5]"
FB133GPI,Enamel Flower Flatback Stud,0,1,-1,
CH011GTQ,December Micro CZ Clicker Charm,24,23,1,"[18, 35]"
FB115GS,Two Tone Bow Flatback Stud,5,4,1,"[37, 7]"
AC016,STUDS Jewelry Box,7,8,-1,"[21, 40]"
FB126SCL,Pave X Flatback Stud,9,10,-1,"[37, 7]"
FB126GCL,Pave X Flatback Stud,10,11,-1,"[37, 38, 7]"
FB111PI,Bow Flatback Stud,9,8,1,"[37, 7]"
PS198KCL,14K Pear Clear,2,3,-1,[31]
FB122GCL,Micro CZ Flatback Stud,0,1,-1,
FC017GTQ_8,December CZ Pave Clicker 8mm,7,6,1,"[18, 35]"
FC017GGR_8,May CZ Pave Clicker 8mm,11,12,-1,"[35, 4]"
HU143GCL,CZ Bezel Huggie,3,4,-1,"[11, 39]"
PS200KPI,14K Stacked Pink Diamond Yellow Gold,6,7,-1,"[31, 68]"
HU142GCL,Stacked Twinkle Huggie,13,14,-1,"[11, 37]"
HU144GCL,Oval Bezel Huggie,9,10,-1,"[11, 39]"
FB120GCL,Pear Cluster Flatback Stud,4,5,-1,"[37, 8]"
HU141GCL,Chunky Twinkle Huggie,4,5,-1,"[11, 39]"
HU140GCL,Pave Spike Huggie,6,7,-1,"[11, 39]"
PS199KPI,14K Mini Pink Diamond Yellow Gold,9,8,1,"[31, 68, 86]"
FB141G,NY Flatback Stud,21,22,-1,"[12, 37]"
FC023SCL_6,Baguette Clicker 6mm,27,28,-1,[5]
PS172KBK,14K CZ Triangle Piercing Stud,1,2,-1,[31]
CN019G,30mm Lip Chain,8,7,1,"[2, 36]"
FC022S_6,Pyramid Clicker 6mm,22,21,1,[5]
PS157KCL,14k Crown Clear,58,57,1,"[31, 66]"
PS154KCL,14K Twinkle,44,43,1,"[31, 65]"
PS138KOP,14K Marquise Opal,15,16,-1,"[31, 64]"
PS137KCL,14K CZ Clear 2.5mm,102,101,1,"[31, 62, 84, 86]"
PS133K,14k Triangle,2,3,-1,[31]
PS120SCL,Ti Cluster,0,1,-1,
PS110SCL,Ti Marquise Clear,62,63,-1,"[30, 73]"
PS109SPI,Titanium CZ Heart Pink,0,1,-1,
PS098G,14K Lightning,0,1,-1,
CI004S,Connector Chain,12,13,-1,"[2, 36]"
CI003S,Connector Chain,23,24,-1,"[2, 36]"
PS081SPI,Titanium CZ Pink 2.5mm,7,8,-1,"[30, 72]"
HU052SCL,Micro Pav© Huggie,30,29,1,"[10, 32]"
HU052GCL,Micro Pav© Huggie,11,12,-1,"[10, 32]"
PS050K,14K Bezel,0,1,-1,
CI002G,Connector Chain,19,18,1,"[2, 36]"
PS048K,14K Ball,13,12,1,"[31, 61, 86]"
PS030S,Ti Moon,1,2,-1,[30]
PS024KCL,14K Cluster,7,8,-1,"[31, 66]"
ST012GGR,Marquise Stud,0,1,-1,
HU021S,Small Chunky Huggie,14,15,-1,"[10, 32]"
HU018G,Pearl Huggie,14,13,1,"[10, 32]"
HU006GCL,Small Pave Huggie,8,9,-1,"[10, 32]"
HP026SCL,Small Pave Hoop,19,20,-1,"[32, 9]"
HP026GCL,Small Pave Hoop,10,11,-1,"[32, 9]"
HP019S,Small Chunky Hoop,11,10,1,"[32, 9]"
HP019G,Small Chunky Hoop,19,20,-1,"[32, 9]"
PB013S,Titanium Industrial Bar 42mm,12,13,-1,[69]
FB093STCL,Pave Lightning Flatback Stud,0,1,-1,
FL001ST_10,10mm PVD Plated Labret  4mm Disc.,31,32,-1,[8]
KP021_WG,14K Long Round Diamond White Gold,7,6,1,"[31, 68]"
HU005BK,Mini Pave Huggie Gunmetal,0,1,-1,
ST193SBK,CZ Spider Stud,0,1,-1,
FC019GCL_8,Floating Bezel Clicker 8mm,9,10,-1,"[33, 5]"
FC019SCL_6,Floating Bezel Clicker 6mm,12,11,1,[5]
FC019GCL_6,Floating Bezel Clicker 6mm,11,10,1,[5]
FB111G,Bow Flatback Stud,11,10,1,"[37, 7]"
FC017SCL_12,Pave Clicker 12mm,14,15,-1,[4]
FC017SCL_10,Pave Clicker 10mm,12,13,-1,[4]
FC014G_10,10mm Double Clicker,8,9,-1,[3]
FC012S_6,Pear Clicker 6mm,23,24,-1,[4]
FC012G_6,Pear Clicker 6mm,10,11,-1,[4]
KP037_WG,14K Round Prong Diamond White Gold,24,23,1,"[31, 67]"
KP010_YG,14K Long Round Diamond Yellow Gold,35,34,1,"[31, 67]"
FC006ST,6mm Clicker- PVD Plated,14,13,1,[3]
PC024G_8,14K Clicker 16G 8mm,0,1,-1,
PS181SPL,Ti Dangle Pearl,25,26,-1,"[30, 75]"
PS181SGR,Ti Dangle Green,13,12,1,"[30, 74]"
PS177SGR,Ti Crown Green,4,5,-1,[30]
PS177SAB,Titanium Crown Marquise Piercing Stud,5,4,1,"[30, 74]"
PS176GBK,14k Crown Black,11,12,-1,"[31, 66]"
PC021GCL_10,14K Clicker Bezel Clear 10mm,7,8,-1,"[31, 60]"
PS175KPL,14K Dangle Pearl,21,22,-1,"[31, 65]"
PS175KGR,14k Dangle Green,15,14,1,"[31, 65]"
PS182GRD,14K Enamel Heart,20,19,1,"[31, 64]"
PS172KCL,14K CZ Triangle Piercing Stud,10,9,1,"[31, 66]"
PS170KCL,14K CZ Clear 4mm,38,37,1,"[31, 63]"
HU146GCL,Mini Bezel Baguette Huggie,1,0,1,[37]
