Sku,Description,Counted Units,Onhand Units,Unit Variance,Areas
FC017GCL_8,Pave Clicker 8mm,8,15,-7,"[2, 33, 34, 35]"
PC022SCL_10,Titanium Clicker Bezel Clear 10mm,21,14,7,"[30, 65]"
PK059,No Description,0,6,-6,
HU095G,Micro Slim Huggie,3,9,-6,"[32, 38, 7]"
FB115GS,Two Tone Bow Flatback Stud,16,10,6,"[37, 4]"
PK062,No Description,0,6,-6,
FB126GCL,Pave X Flatback Stud,4,10,-6,"[37, 38, 4]"
FC020SCL_8,Triple Pave Clicker 8mm,0,6,-6,
PK054,No Description,0,5,-5,
PS175KGR,14k Dangle Green,7,12,-5,"[31, 71]"
FB128GCL,Bow CZ Dangle Flatback Stud,26,21,5,"[37, 38, 4]"
KP010_YG,14K Long Round Diamond Yellow Gold,12,7,5,"[31, 72]"
FB085GTCL,Mini CZ Flatback Stud,23,18,5,"[36, 37, 38, 4]"
HU095S,Micro Slim Huggie,18,23,-5,"[32, 7]"
KP037_WG,14K Round Prong Diamond White Gold,23,18,5,"[100, 31, 72]"
PS221AGCL,Anodized Twinkle Heart,0,5,-5,
PK064I,No Description,0,5,-5,
PK066,No Description,0,5,-5,
PK065,No Description,0,5,-5,
PK058,No Description,0,5,-5,
PS005SBK,Ti CZ Black 4mm,0,4,-4,
FC028GCL_8,Bezel Clicker 8mm,5,9,-4,"[2, 33]"
PS210KCL,14K Curved CZ Pear,10,14,-4,"[31, 70]"
PK060,No Description,0,4,-4,
PS005SCL,Ti CZ Clear 4mm,57,61,-4,"[101, 30, 63]"
CH018G,Van Leeuwen Cherry Charm,0,4,-4,
HU006GCL,Small Pave Huggie,21,25,-4,"[32, 7]"
FB127GCL,Micro Twinkle Flatback Stud,9,13,-4,"[37, 4]"
FB085STCL,Mini CZ Flatback Stud,14,10,4,"[36, 37, 38, 4]"
HU005SCL,Mini Pave Huggie,11,15,-4,"[32, 7]"
PS081SCL,Ti CZ Clear 2.5mm,191,194,-3,"[101, 30, 38, 61]"
FB127SCL,Micro Twinkle Flatback Stud,13,10,3,"[37, 4]"
FB122GCL,Micro CZ Flatback Stud,2,5,-3,"[35, 4]"
FL001ST_8,8mm PVD Plated Labret  4mm Disc.,9,12,-3,[5]
FA001GT,PVD Gold Converter,20,23,-3,[5]
PK084,No Description,0,3,-3,
PC005G,10mm Clicker,6,9,-3,[2]
FB125SCL,Micro Crown Marquise Flatback Stud,18,21,-3,"[37, 4]"
PS181SPL,Ti Dangle Pearl,7,10,-3,"[30, 64]"
PS216G,Anodized Pyramid,0,3,-3,
FB141G,NY Flatback Stud,24,27,-3,"[37, 4]"
FT001T,Flatback Insertion Tool - Long Pin Taper,10,7,3,[5]
PS177SBK,Ti Crown Black,4,7,-3,[30]
FB133GPI,Enamel Flower Flatback Stud,0,3,-3,
PS203KCL,14K Stacked CZ Clear,12,9,3,"[31, 71]"
PC023S_10,Titanium Clicker 16G 10mm,17,20,-3,"[101, 30, 65]"
PS081SPI,Titanium CZ Pink 2.5mm,0,2,-2,
FC019SCL_8,Floating Bezel Clicker 8mm,17,15,2,"[2, 33]"
PC024G_10,14K Clicker 16G 10mm,7,5,2,"[31, 66]"
KP027_YG,14K Round Prong Diamond Yellow Gold,18,20,-2,"[100, 31, 72]"
PS177SCL,Ti Crown Clear,27,29,-2,"[30, 63]"
HU020S,Mini Chunky Huggie,11,13,-2,"[32, 38, 7]"
FC014S_10,10mm Double Clicker,9,11,-2,[2]
FC017SCL_8,Pave Clicker 8mm,10,12,-2,"[2, 33, 38]"
PB001S,Titanium Industrial Bar 38mm,12,10,2,"[30, 65]"
PS096G,14K Trinity Ball,31,29,2,"[100, 31, 68]"
HU005GCL,Mini Pave Huggie,11,13,-2,"[32, 7]"
FB150G,Skeleton Hand Flatback,0,2,-2,
PS208KCL,14K CZ Bezel Cluster Piercing Stud,3,5,-2,[31]
PS207KCL,14K CZ Bow Piercing Stud,0,2,-2,
HP004S,Small Slim Hoop,19,17,2,"[32, 38, 6]"
HP019S,Small Chunky Hoop,20,22,-2,"[32, 38, 6]"
PS203KGR,14K Stacked CZ Green,9,11,-2,"[31, 71]"
PS202SPL,Ti Stacked CZ Pearl,17,15,2,"[30, 64]"
PS201S,Ti Daisy,12,14,-2,"[30, 62]"
PS198KPI,14K Pear Pink,15,13,2,"[31, 67]"
FB124SCL,Micro Crown Baguette Flatback Stud,11,9,2,"[37, 4]"
HU132GCL,Twinkle CZ Huggie,11,13,-2,"[32, 7]"
PS050K,14K Bezel,2,0,2,[68]
PS081STQ,Titanium CZ Turquoise 2.5mm,0,2,-2,
FC028GCL_6,Bezel Clicker 6mm,12,14,-2,"[2, 38]"
AC014,PIERCING PILLOW,15,17,-2,[73]
RS0013,No Description,0,2,-2,
FC012G_6,Pear Clicker 6mm,13,15,-2,[2]
FL001GT_8,8mm PVD Plated Labret  4mm Disc.,99,101,-2,"[5, 9]"
FI003PL,Pearl Industrial Bar,15,13,2,"[33, 38, 5]"
PS007S,Ti Trinity Ball,8,6,2,"[30, 61]"
PS028KCL,14K Pave Lightning,0,2,-2,
HP004G,Small Slim Hoop,16,18,-2,"[32, 6]"
PS137KCL,14K CZ Clear 2.5mm,3,1,2,[31]
PS135K,14k Pearl,14,12,2,"[31, 67]"
CI003G,Connector Chain,14,16,-2,"[1, 36]"
HU005GGR,Mini Pave Huggie,4,6,-2,"[32, 7]"
HU014G,Small Slim Huggie,18,20,-2,"[32, 7]"
FC009ST,6mm Double Clicker,8,10,-2,[2]
HU019S,Micro Chunky Huggie,7,9,-2,"[32, 38, 7]"
FC006ST,6mm Clicker- PVD Plated,17,15,2,"[2, 38]"
FB111PI,Bow Flatback Stud,7,6,1,"[37, 38, 4]"
HU006SCL,Small Pave Huggie,19,20,-1,"[32, 7]"
FB124GCL,Micro Crown Baguette Flatback Stud,12,13,-1,"[37, 4]"
EPS155KCL,No Description,0,1,-1,
FL001GT_6,6mm PVD Plated Labret  4mm Disc.,47,48,-1,"[5, 9]"
FB126SCL,Pave X Flatback Stud,10,11,-1,"[37, 38, 4]"
PS048K,14K Ball,17,18,-1,"[31, 68]"
FI002ST,38mm Industrial Bar- PVD,15,16,-1,"[33, 5]"
FC017GPI_8,October CZ Pave Clicker 8mm,3,2,1,[3]
FC017GTQ_8,December CZ Pave Clicker 8mm,0,1,-1,
FC028SCL_6,Bezel Clicker 6mm,5,4,1,[2]
FI002GT,38mm Industrial Bar- PVD,14,13,1,"[33, 5]"
FB122GGR,Micro CZ Flatback Stud,7,8,-1,"[35, 4]"
FCB001ST,8mm Barbell- PVD,13,14,-1,"[33, 38, 5]"
AC016,STUDS Jewelry Box,12,13,-1,[10]
FC017GGR_8,May CZ Pave Clicker 8mm,18,17,1,"[3, 35]"
FL001GT_10,10mm PVD Plated Labret  4mm Disc.,21,20,1,[5]
FL001ST_10,10mm PVD Plated Labret  4mm Disc.,15,14,1,[5]
PS173KPK,14K Trinity CZ Pink,0,1,-1,
PS198KCL,14K Pear Clear,17,16,1,"[31, 67]"
PB006S,Titanium Curved Barbell 10mm,23,22,1,"[101, 66, 73]"
PB004K,14k Curved Barbell 8mm,11,10,1,"[31, 66]"
HU020G,Mini Chunky Huggie,23,22,1,"[32, 7, 9]"
FB152G,Spider Web Flatback,0,1,-1,
FB151GBL,Spider Flatback,0,1,-1,
PC003G,6mm Clicker,14,15,-1,"[2, 38]"
HU018G,Pearl Huggie,11,10,1,"[32, 7]"
HU014S,Small Slim Huggie,12,13,-1,"[32, 7]"
PS081SGR,Ti CZ Green 2.5mm,19,18,1,"[30, 61]"
FB133GRD,Enamel Flower Flatback Stud,0,1,-1,
PS081SYL,Titanium CZ Yellow 2.5mm,0,1,-1,
PS123SCL,Ti Trinity CZ,18,19,-1,"[30, 62]"
PS123SOP,Titanium Trinity CZ Opal,0,1,-1,
HP010G,Small French Twist Hoop,8,7,1,"[32, 6]"
PS133K,14k Triangle,4,3,1,[31]
HP026GCL,Small Pave Hoop,21,20,1,"[32, 6]"
HP026SCL,Small Pave Hoop,16,15,1,"[32, 38, 6]"
PS154KCL,14K Twinkle,23,24,-1,"[31, 70]"
PS202SGR,Ti Stacked CZ Green,15,16,-1,"[30, 64]"
PS202SCL,Ti Stacked CZ Clear,5,6,-1,"[30, 64]"
PS155KCL,14K Stacked CZ Pearl,1,2,-1,[31]
PS157KCL,14k Crown Clear,37,38,-1,"[100, 31, 70]"
CH011GGR,Micro CZ Clicker Charm,23,22,1,[1]
EPS175KPL,No Description,0,1,-1,
FC023SCL_8,Baguette Clicker 8mm,19,18,1,"[3, 33]"
FB120SCL,Pear Cluster Flatback Stud,11,12,-1,"[38, 4]"
FB118SCL,Pear Dangle Flatback Stud,9,10,-1,"[37, 4]"
FC012S_6,Pear Clicker 6mm,32,33,-1,"[2, 9]"
FC010GT,8mm Double Clicker,24,25,-1,"[2, 33, 9]"
FA001ST,PVD Silver Converter,24,25,-1,[5]
KP035_WG,Puffy Paisley Diamond White Gold,0,1,-1,
KP025_YG,Puffy Paisley Diamond Yellow Gold,0,1,-1,
PS081SAB,Ti CZ Aurora Borealis 2.5mm,28,27,1,"[30, 61]"
PS185S,Ti Triangle,0,1,-1,
PC023S_8,Titanium Clicker 16G 8mm,14,13,1,"[101, 30, 65]"
HU050G,Metro Card Huggie,0,1,-1,
FC011G,12mm Clicker,9,10,-1,[2]
PC022SCL_8,Titanium Clicker Bezel Clear 8mm,13,12,1,"[30, 65]"
FC011S,12mm Clicker,11,10,1,[2]
PS181SGR,Ti Dangle Green,7,8,-1,"[30, 64]"
PS181SCL,Ti Dangle Clear,20,21,-1,"[30, 64]"
PK156,No Description,0,1,-1,
HU052GCL,Micro Pav© Huggie,16,17,-1,"[32, 7]"
PS170KCL,14K CZ Clear 4mm,9,10,-1,"[31, 69]"
PS172KBK,14K CZ Triangle Piercing Stud,8,9,-1,"[102, 31]"
PS176GGR,14k Crown Green,8,7,1,"[31, 70]"
PS176GBK,14k Crown Black,13,14,-1,"[31, 70]"
PS173KCL,14K Trinity CZ,29,28,1,"[31, 69]"
PS175KCL,14k Dangle Clear,14,13,1,"[31, 71]"
PS182GRD,14K Enamel Heart,16,15,1,"[31, 69]"
FC012G_8,Pear Clicker 8mm,12,11,1,"[2, 33]"
FC012S_8,Pear Clicker 8mm,15,16,-1,"[2, 33]"
FC014G_10,10mm Double Clicker,11,12,-1,[2]
FC007ST,8mm Clicker- PVD Plated,11,12,-1,"[2, 33]"
PS174KCL,14K CZ Heart Clear,0,1,-1,
FC023GCL_8,Baguette Clicker 8mm,10,11,-1,"[3, 33]"
FC023GCL_6,Baguette Clicker 6mm,20,21,-1,[3]
HP049G,Medium French Twist Hoop,18,17,1,"[10, 32, 6]"
CN019S,30mm Lip Chain,22,23,-1,[1]
CN019G,30mm Lip Chain,2,1,1,"[1, 38]"
FC022S_6,Pyramid Clicker 6mm,18,17,1,[3]
PK070-1T,No Description,0,1,-1,
PS098G,14K Lightning,7,8,-1,"[31, 68]"
PS099G,14k Star,12,11,1,"[31, 68]"
PS168KDI,14K Mini Diamond Yellow Gold,14,15,-1,"[100, 31, 72]"
FC017SCL_6,Pave Clicker 6mm,11,12,-1,[2]
FC019GCL_8,Floating Bezel Clicker 8mm,18,19,-1,"[2, 33]"
FC019SCL_6,Floating Bezel Clicker 6mm,20,19,1,[2]
HU124GCL,Chunky Pear CZ Huggie,12,11,1,"[32, 7]"
FB111G,Bow Flatback Stud,10,11,-1,"[37, 4]"
FB111S,Bow Flatback Stud,27,26,1,"[37, 4, 9]"
FC017GCL_12,Pave Clicker 12mm,9,10,-1,"[2, 34]"
FC017SCL_10,Pave Clicker 10mm,18,19,-1,[2]
FC017GCL_10,Pave Clicker 10mm,17,18,-1,"[2, 34]"
FC009GT,6mm Double Clicker,7,8,-1,[2]
PS083GCL,14K Marquise Clear,20,19,1,"[31, 69]"
PS184SAB,Ti Marquise Aurora Borealis,6,5,1,"[30, 63]"
